"Delinquent Omega Belongs to the Beast King!","143899"
"Yarichin ni Yoru Trauma Kokufuku XXX","141713"
"Punch Drunk Love","153985"
"Make Me Bark","121403"
"Payback","149299"
"Your Ultimate Love Rival","147840"
"Playmate","130807"
"My Brother's Sweetest Spot","132419"
"Kamengoshi ni, Kiss","137910"
"Bad Prince Honey Party","136338"
"Yakuza in Love","3628"
"Miss Overprotected","151674"
"The Little Landlady","151997"
"The Duke's Darling Daughter-in-Law","152183"
"The Villain's Beloved Daughter","151817"
"Making a Child with a Beast","144705"
"Friends, Engaged","166113"
"Don't Get in the Way of Shun's Romance","152138"
"Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!","121303"
"Fox-Colored Jealousy","127719"
"Tengu Datte Koi wo Suru","118605"
"Dear Signal","126476"
"The Status Window to the Soul","152594"
"Bibliophile Princess","120083"
"Kuchi ga Saketemo Kimi ni wa","128093"
"Radio Storm","161200"
"Kojika Counter!","120600"
"Unintentional Love Story","145605"
"The Baby Divine Beast","152595"
"The Demon's Darling Daughter","153400"
"Nakittsura ni Hug","131428"
"First Night With My Beloved","168751"
"I Dream of Being Eaten by Enokida","145967"
"My Husband Changes Every Night","154254"
"I Got Weird Thoughts Because Of My Maid","152859"
"What the Duke Picked Up in the Forest","154472"
"Stranger Than Friends","149010"
"Imitation Mate","124384"
"Museru Kurai no Ai wo Ageru","152907"
"I'll Never Be Your Crown Princess!","122449"
"Double Trap","146519"
"My Home, Your One-Room","130720"
"Will You Marry Me?","124834"
"Geminis Craving Love","152321"
"Ore dake no Senzoku Alpha","132497"
"Youchi na Koi wo Doushiyou","109828"
"He's Just My Brother, Your Grace!","153255"
"Samurai Omega to Akutoku Shachou","153186"
"Jinx","153829"
"Peko to Sensei","149478"
"Ikenie Monzenbarai","142141"
"Ecchi wa Shuu-7 Kibou desu!","154050"
"Mofutte Ii no wa Omae dake","153310"
"Love Meter 100%","149471"
"Daijuukou to Unicornis no Otome","151743"
"Maid to Love or Die","155026"
"You Know You're Cuter!","145687"
"To Your Right, You Will See My Boyfriend","143600"
"Salt Friend","154893"
"You Are My Princess","118604"
"My Alter-Ego is a Gangster!","142620"
"Ore no Kiss dake Oboete yo","146479"
"Jackass!","97092"
"Daisuki Doushi ga shitai Koto.","153432"
"Sono Kioku wa Arimasen","155373"
"Sono Futari, Kaishaku Chigai desu!","153732"
"Seventeen Syrups","144143"
"Six Sex","108654"
"Tsubanakasu Haru","129219"
"A World Without You","154307"
"The Second Sales Division!!","94266"
"Dreaming Freedom","147636"
"The Sacred One Speaks","159954"
"The Lady Needs a Break","147951"
"Black Dragon's Choice","160224"
"The Reason She Is Avoiding Her Childhood Friend","149541"
